"main_category","category_slug","status","source","version"
"etkinlik-organizasyon","mezuniyet-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","dogum-gunu-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","bekarliga-veda-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","acilis-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","kurumsal-etkinlik-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","evde-nisan-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","evde-soz-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","soz-nisan-organizasyon","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","susleme-organizasyon","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-organizasyon","etkinlik-organizasyonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","kina-tahti-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","nisan-masasi-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","sunnet-tahti-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","arka-fon-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","tag-kemer-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","gelin-yolu-susleme","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","nikah-masasi-susleme","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","masa-sandalye-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","ses-sistem-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","isik-sistem-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","sahne-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","palyanco-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","animator-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"sahne-dekor-ekipman","sisme-oyun-parki-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","nikah-fotografcisi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","nisan-fotografcisi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","sunnet-fotografcisi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","dugun-drone-cekimi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","soz-fotograf-cekimi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","evlilik-teklifi-fotograf-cekimi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"fotograf-ve-video","mekan-fotografcisi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-mekanlari","soz-nisan-mekanlari","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-mekanlari","kir-dugunu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-mekanlari","dugun-salonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"etkinlik-mekanlari","davet-salonu","passive","FINAL_CATEGORY_LOCK_V1","v1"
"ikram-ve-catering","nisan-ikramliklari-catering","passive","FINAL_CATEGORY_LOCK_V1","v1"
"ikram-ve-catering","nisan-menusu-catering","passive","FINAL_CATEGORY_LOCK_V1","v1"
"ikram-ve-catering","nisan-pastasi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"ikram-ve-catering","soz-pastasi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"ikram-ve-catering","davet-catering","passive","FINAL_CATEGORY_LOCK_V1","v1"
"gelin-arabasi-ve-transfer","sunnet-arabasi-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"gelin-arabasi-ve-transfer","limuzin-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"gelin-arabasi-ve-transfer","ustu-acik-gelin-arabasi-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"gelin-arabasi-ve-transfer","vito-gelin-arabasi-kiralama","passive","FINAL_CATEGORY_LOCK_V1","v1"
"guzellik-ve-hazirlik","nikah-makyaji","passive","FINAL_CATEGORY_LOCK_V1","v1"
"guzellik-ve-hazirlik","nisan-makyaji","passive","FINAL_CATEGORY_LOCK_V1","v1"
"guzellik-ve-hazirlik","sac-ve-makyaj","passive","FINAL_CATEGORY_LOCK_V1","v1"
"guzellik-ve-hazirlik","gelin-sac-makyaj","passive","FINAL_CATEGORY_LOCK_V1","v1"
"guzellik-ve-hazirlik","kiz-isteme-makyaji","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","davetiye-baski","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","dijital-davetiye","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","dugun-davetiyesi","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","nisan-hediyelik","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","dugun-hediyelik","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","mevlut-hediyelik","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","nikah-hediyelik","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","cicek-gonderme","passive","FINAL_CATEGORY_LOCK_V1","v1"
"davetiye-hediyelik-cicek","cicek-tasarimi","passive","FINAL_CATEGORY_LOCK_V1","v1"
