"main_category","category_slug","status","source","version"
"muzik-ekipleri","dugun-orkestrasi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","bayan-orkestra","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","gelin-alma-bandosu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","bando-takimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","dj-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","fasil-ekibi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","mehter-takimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","ilahi-grubu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","dugun-dj","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","profesyonel-dj","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","dugun-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","kina-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","sunnet-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","nisan-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","soz-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","nikah-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","mezuniyet-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","dogum-gunu-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","bekarliga-veda-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
