"city_id","city_name","city_slug","sort_order"
"1","Adana","adana","10"
"2","Adıyaman","ad-yaman","20"
"3","Afyonkarahisar","afyonkarahisar","30"
"4","Aksaray","aksaray","40"
"5","Amasya","amasya","50"
"6","Çanakkale","anakkale","60"
"7","Ankara","ankara","70"
"8","Çankırı","ank-r","80"
"9","Şanlıurfa","anl-urfa","90"
"10","Antalya","antalya","100"
"11","Ağrı","a-r","110"
"12","Ardahan","ardahan","120"
"13","Artvin","artvin","130"
"14","Aydın","ayd-n","140"
"15","Balıkesir","bal-kesir","150"
"16","Bartın","bart-n","160"
"17","Batman","batman","170"
"18","Bayburt","bayburt","180"
"19","Bilecik","bilecik","190"
"20","Bingöl","bing-l","200"
"21","Bitlis","bitlis","210"
"22","Bolu","bolu","220"
"23","Burdur","burdur","230"
"24","Bursa","bursa","240"
"25","Denizli","denizli","250"
"26","Diyarbakır","diyarbak-r","260"
"27","Düzce","d-zce","270"
"28","Edirne","edirne","280"
"29","Elazığ","elaz","290"
"30","Erzincan","erzincan","300"
"31","Erzurum","erzurum","310"
"32","Eskişehir","eski-ehir","320"
"33","Gaziantep","gaziantep","330"
"34","Giresun","giresun","340"
"35","Gümüşhane","g-m-hane","350"
"36","Hakkari","hakkari","360"
"37","Hatay","hatay","370"
"38","Iğdır","i-d-r","380"
"39","Isparta","isparta","390"
"40","Kahramanmaraş","kahramanmara","400"
"41","Karabük","karab-k","410"
"42","Karaman","karaman","420"
"43","Kars","kars","430"
"44","Kastamonu","kastamonu","440"
"45","Kayseri","kayseri","450"
"46","Kilis","kilis","460"
"47","Kocaeli","kocaeli","470"
"48","Konya","konya","480"
"49","Kırşehir","k-r-ehir","490"
"50","Kırıkkale","k-r-kkale","500"
"51","Kırklareli","k-rklareli","510"
"52","Kütahya","k-tahya","520"
"53","Malatya","malatya","530"
"54","Manisa","manisa","540"
"55","Mardin","mardin","550"
"56","Mersin","mersin","560"
"57","Muş","mu","570"
"58","Muğla","mu-la","580"
"59","Nevşehir","nev-ehir","590"
"60","Niğde","ni-de","600"
"61","Ordu","ordu","610"
"62","Çorum","orum","620"
"63","Osmaniye","osmaniye","630"
"64","Rize","rize","640"
"65","Şırnak","rnak","650"
"66","Sakarya","sakarya","660"
"67","Samsun","samsun","670"
"68","Siirt","siirt","680"
"69","Sinop","sinop","690"
"70","Sivas","sivas","700"
"71","İstanbul","stanbul","710"
"72","Tekirdağ","tekirda","720"
"73","Tokat","tokat","730"
"74","Trabzon","trabzon","740"
"75","Tunceli","tunceli","750"
"76","Uşak","u-ak","760"
"77","Van","van","770"
"78","Yalova","yalova","780"
"79","Yozgat","yozgat","790"
"80","İzmir","zmir","800"
"81","Zonguldak","zonguldak","810"
