FINAL TREE STRICT v2
Tarih: 2026-03-09 21:14:03
Toplam Keep: 152

1. catering-hizmetleri (14)
  - Catering [slug=service-catering; top=service-events-organization; conf=medium]
  - Davet Catering [slug=service-davet-catering; top=service-events-organization; conf=medium]
  - Dogum Gunu Catering [slug=service-dogum-gunu-catering; top=service-events-organization; conf=high]
  - Dogum Gunu Ikramliklari [slug=service-dogum-gunu-ikramliklari; top=service-events-organization; conf=medium]
  - Doner Catering [slug=service-doner-catering; top=service-events-organization; conf=medium]
  - Dugun Catering [slug=service-dugun-catering; top=service-events-organization; conf=high]
  - Dugun Ikramliklari [slug=service-dugun-ikramliklari; top=service-events-organization; conf=medium]
  - Dugun Pastasi [slug=service-dugun-pastasi; top=service-events-organization; conf=medium]
  - Iftar Yemegi Catering [slug=service-iftar-yemegi-catering; top=service-events-organization; conf=medium]
  - Kokteyl Catering [slug=service-kokteyl-catering; top=service-events-organization; conf=medium]
  - Nisan Ikramliklari Catering [slug=service-nisan-ikramliklari-catering; top=service-events-organization; conf=high]
  - Nisan Menusu Catering [slug=service-nisan-menusu-catering; top=service-events-organization; conf=high]
  - Nisan Pastasi [slug=service-nisan-pastasi; top=service-events-organization; conf=medium]
  - Soz Pastasi [slug=service-soz-pastasi; top=service-other; conf=low]

2. cicekciler (3)
  - Cicek Gonderme [slug=service-cicek-gonderme; top=service-other; conf=low]
  - Cicek Tasarimi [slug=service-cicek-tasarimi; top=service-design-software-marketing; conf=medium]
  - Cicekci [slug=service-cicekci; top=service-other; conf=low]

3. dugun-davetiyesi (5)
  - Davetiye [slug=service-davetiye; top=service-other; conf=low]
  - Davetiye Baski [slug=service-davetiye-baski; top=service-print-sign-ad; conf=medium]
  - Davetiye Tasarim [slug=service-davetiye-tasarim; top=service-design-software-marketing; conf=medium]
  - Dijital Davetiye [slug=service-dijital-davetiye; top=service-other; conf=low]
  - Dugun Davetiyesi [slug=service-dugun-davetiyesi; top=service-events-organization; conf=medium]

4. dugun-fotografcilari-video (7)
  - Dis Cekim Fotograf [slug=service-dis-cekim-fotograf; top=service-photo-video-media; conf=medium]
  - Drone Cekimi [slug=service-drone-cekimi; top=service-photo-video-media; conf=medium]
  - Dugun Drone Cekimi [slug=service-dugun-drone-cekimi; top=service-events-organization; conf=medium]
  - Dugun Fotografcisi [slug=service-dugun-fotografcisi; top=service-events-organization; conf=medium]
  - Dugun Video Cekimi [slug=service-dugun-video-cekimi; top=service-events-organization; conf=medium]
  - Evlilik Teklifi Fotograf Cekimi [slug=service-evlilik-teklifi-fotograf-cekimi; top=service-photo-video-media; conf=medium]
  - Kameraman [slug=service-kameraman; top=service-photo-video-media; conf=medium]

5. dugun-mekanlari (16)
  - Bekarliga Veda Mekanlari [slug=service-bekarliga-veda-mekanlari; top=service-other; conf=low]
  - Camekan Balkon [slug=service-camekan-balkon; top=service-glass-aluminum-pvc; conf=medium]
  - Davet Salonu [slug=service-davet-salonu; top=service-other; conf=low]
  - Dogum Gunu Mekanlari [slug=service-dogum-gunu-mekanlari; top=service-events-organization; conf=medium]
  - Dugun Mekanlari [slug=service-dugun-mekanlari; top=service-events-organization; conf=medium]
  - Dugun Salonu [slug=service-dugun-salonu; top=service-events-organization; conf=medium]
  - Ic Mekan Tasarimi [slug=service-ic-mekan-tasarimi; top=service-design-software-marketing; conf=medium]
  - Kina Mekanlari [slug=service-kina-mekanlari; top=service-events-organization; conf=medium]
  - Kir Dugunu [slug=service-kir-dugunu; top=service-events-organization; conf=medium]
  - Mekan Fotografcisi [slug=service-mekan-fotografcisi; top=service-photo-video-media; conf=medium]
  - Mekanik Cephe Kaplama [slug=service-mekanik-cephe-kaplama; top=service-auto-services; conf=medium]
  - Mekanik Proje [slug=service-mekanik-proje; top=service-design-software-marketing; conf=medium]
  - Mekanik Proje Cizimi [slug=service-mekanik-proje-cizimi; top=service-design-software-marketing; conf=high]
  - Nisan Mekanlari [slug=service-nisan-mekanlari; top=service-events-organization; conf=medium]
  - Soz Mekanlari [slug=service-soz-mekanlari; top=service-other; conf=low]
  - Soz Nisan Mekanlari [slug=service-soz-nisan-mekanlari; top=service-events-organization; conf=medium]

6. dugun-organizasyon (25)
  - Acilis Balon Susleme [slug=service-acilis-balon-susleme; top=service-events-organization; conf=medium]
  - Balon Susleme [slug=service-balon-susleme; top=service-events-organization; conf=medium]
  - Dogum Gunu Balon Susleme [slug=service-dogum-gunu-balon-susleme; top=service-events-organization; conf=high]
  - Dogum Gunu Susleme [slug=service-dogum-gunu-susleme; top=service-events-organization; conf=medium]
  - Dogum Odasi Susleme [slug=service-dogum-odasi-susleme; top=service-other; conf=low]
  - Dugun Balon Susleme [slug=service-dugun-balon-susleme; top=service-events-organization; conf=high]
  - Dugun Organizasyon [slug=service-dugun-organizasyon; top=service-events-organization; conf=high]
  - Etkinlik Fotografcisi [slug=service-etkinlik-fotografcisi; top=service-photo-video-media; conf=medium]
  - Etkinlik Hostesi [slug=service-etkinlik-hostesi; top=service-other; conf=low]
  - Evde Nisan Organizasyonu [slug=service-evde-nisan-organizasyonu; top=service-events-organization; conf=high]
  - Evde Soz Organizasyonu [slug=service-evde-soz-organizasyonu; top=service-events-organization; conf=medium]
  - Evlilik Teklifi Organizasyon [slug=service-evlilik-teklifi-organizasyon; top=service-events-organization; conf=medium]
  - Fuar Hostesi [slug=service-fuar-hostesi; top=service-other; conf=low]
  - Gelin Arabasi Susleme [slug=service-gelin-arabasi-susleme; top=service-other; conf=low]
  - Karsilama Hostesi [slug=service-karsilama-hostesi; top=service-other; conf=low]
  - Kina Organizasyon [slug=service-kina-organizasyon; top=service-events-organization; conf=high]
  - Konsept Fotograf Cekimi [slug=service-konsept-fotograf-cekimi; top=service-photo-video-media; conf=medium]
  - Muzik Organizasyonu [slug=service-muzik-organizasyonu; top=service-events-organization; conf=medium]
  - Nikah Organizasyon [slug=service-nikah-organizasyon; top=service-events-organization; conf=medium]
  - Nisan Organizasyon [slug=service-nisan-organizasyon; top=service-events-organization; conf=high]
  - Soz Nisan Organizasyon [slug=service-soz-nisan-organizasyon; top=service-events-organization; conf=high]
  - Soz Organizasyon [slug=service-soz-organizasyon; top=service-events-organization; conf=medium]
  - Susleme Organizasyon [slug=service-susleme-organizasyon; top=service-events-organization; conf=medium]
  - Ucan Balon Susleme [slug=service-ucan-balon-susleme; top=service-events-organization; conf=medium]
  - Zincir Balon Susleme [slug=service-zincir-balon-susleme; top=service-events-organization; conf=medium]

7. gelin-arabasi (13)
  - Gelin Arabasi Kiralama [slug=service-gelin-arabasi-kiralama; top=service-rental; conf=medium]
  - Havaalani Transfer [slug=service-havaalani-transfer; top=service-other; conf=low]
  - Karavan Transfer [slug=service-karavan-transfer; top=service-other; conf=low]
  - Kedi Transferi [slug=service-kedi-transferi; top=service-pets-garden; conf=medium]
  - Kopek Transfer [slug=service-kopek-transfer; top=service-pets-garden; conf=medium]
  - Limuzin Kiralama [slug=service-limuzin-kiralama; top=service-rental; conf=medium]
  - Motosiklet Transfer [slug=service-motosiklet-transfer; top=service-auto-services; conf=medium]
  - Sehirler Arasi Transfer [slug=service-sehirler-arasi-transfer; top=service-other; conf=low]
  - Tekne Transferi [slug=service-tekne-transferi; top=service-other; conf=low]
  - Transfer [slug=service-transfer; top=service-other; conf=low]
  - Ustu Acik Gelin Arabasi Kiralama [slug=service-ustu-acik-gelin-arabasi-kiralama; top=service-rental; conf=medium]
  - Vip Transfer [slug=service-vip-transfer; top=service-other; conf=low]
  - Vito Gelin Arabasi Kiralama [slug=service-vito-gelin-arabasi-kiralama; top=service-rental; conf=medium]

8. gelinlik (6)
  - Gelinlik [slug=service-gelinlik; top=service-other; conf=low]
  - Gelinlik Dikimi [slug=service-gelinlik-dikimi; top=service-beauty-fashion; conf=medium]
  - Gelinlik Kiralama [slug=service-gelinlik-kiralama; top=service-rental; conf=medium]
  - Gelinlik Kuru Temizleme [slug=service-gelinlik-kuru-temizleme; top=service-home-cleaning; conf=medium]
  - Gelinlik Tadilati [slug=service-gelinlik-tadilati; top=service-construction-renovation; conf=medium]
  - Tesettur Gelinlik Kiralama [slug=service-tesettur-gelinlik-kiralama; top=service-rental; conf=medium]

9. gelin-saci-ve-makyaji (25)
  - Dogum Gunu Makyaji [slug=service-dogum-gunu-makyaji; top=service-events-organization; conf=medium]
  - Dugun Makyaji [slug=service-dugun-makyaji; top=service-events-organization; conf=medium]
  - Erkek Kuaforu [slug=service-erkek-kuaforu; top=service-beauty-fashion; conf=medium]
  - Evde Kuafor [slug=service-evde-kuafor; top=service-beauty-fashion; conf=medium]
  - Evde Makyaj [slug=service-evde-makyaj; top=service-beauty-fashion; conf=medium]
  - Evde Nisan Makyaji [slug=service-evde-nisan-makyaji; top=service-events-organization; conf=medium]
  - Fotograf Cekimi Makyaji [slug=service-fotograf-cekimi-makyaji; top=service-photo-video-media; conf=medium]
  - Gelin Makyaji [slug=service-gelin-makyaji; top=service-beauty-fashion; conf=medium]
  - Gelin Sac Makyaj [slug=service-gelin-sac-makyaj; top=service-beauty-fashion; conf=medium]
  - Gelin Saci [slug=service-gelin-saci; top=service-other; conf=low]
  - Glitter Makyaj [slug=service-glitter-makyaj; top=service-beauty-fashion; conf=medium]
  - Gunluk Makyaj [slug=service-gunluk-makyaj; top=service-beauty-fashion; conf=medium]
  - Kiz Isteme Makyaji [slug=service-kiz-isteme-makyaji; top=service-beauty-fashion; conf=medium]
  - Kopek Kuaforu [slug=service-kopek-kuaforu; top=service-beauty-fashion; conf=medium]
  - Kuafor [slug=service-kuafor; top=service-beauty-fashion; conf=medium]
  - Makyaj [slug=service-makyaj; top=service-beauty-fashion; conf=medium]
  - Makyaj Masasi Yapimi [slug=service-makyaj-masasi-yapimi; top=service-home-furniture-wood; conf=high]
  - Nikah Makyaji [slug=service-nikah-makyaji; top=service-beauty-fashion; conf=medium]
  - Nisan Makyaji [slug=service-nisan-makyaji; top=service-events-organization; conf=medium]
  - Ozel Gun Makyaji [slug=service-ozel-gun-makyaji; top=service-beauty-fashion; conf=medium]
  - Pet Kuaforu [slug=service-pet-kuaforu; top=service-beauty-fashion; conf=medium]
  - Plastik Makyaj [slug=service-plastik-makyaj; top=service-beauty-fashion; conf=medium]
  - Porselen Makyaj [slug=service-porselen-makyaj; top=service-beauty-fashion; conf=medium]
  - Sac Ve Makyaj [slug=service-sac-ve-makyaj; top=service-beauty-fashion; conf=medium]
  - Yuz Tasi Makyaj [slug=service-yuz-tasi-makyaj; top=service-beauty-fashion; conf=medium]

10. kina-ve-bekarliga-veda (5)
  - Kina Elbisesi Kiralama [slug=service-kina-elbisesi-kiralama; top=service-events-organization; conf=medium]
  - Kina Fotograf Cekimi [slug=service-kina-fotograf-cekimi; top=service-events-organization; conf=medium]
  - Makinali Kara Siva [slug=service-makinali-kara-siva; top=service-construction-renovation; conf=medium]
  - Makinali Sap [slug=service-makinali-sap; top=service-events-organization; conf=medium]
  - Ozel Makina Imalati [slug=service-ozel-makina-imalati; top=service-events-organization; conf=medium]

11. muzik (20)
  - Bando Takimi [slug=service-bando-takimi; top=service-events-organization; conf=medium]
  - Canli Muzik [slug=service-canli-muzik; top=service-other; conf=low]
  - Dj Kiralama [slug=service-dj-kiralama; top=service-events-organization; conf=medium]
  - Dugun Bandosu [slug=service-dugun-bandosu; top=service-events-organization; conf=high]
  - Dugun Davulcusu [slug=service-dugun-davulcusu; top=service-events-organization; conf=medium]
  - Dugun Dj [slug=service-dugun-dj; top=service-events-organization; conf=high]
  - Dugun Orkestrasi [slug=service-dugun-orkestrasi; top=service-events-organization; conf=medium]
  - Fasil Ekibi [slug=service-fasil-ekibi; top=service-events-organization; conf=medium]
  - Gelin Alma Bandosu [slug=service-gelin-alma-bandosu; top=service-events-organization; conf=medium]
  - Kadin Dj [slug=service-kadin-dj; top=service-events-organization; conf=medium]
  - Muzik Ekibi [slug=service-muzik-ekibi; top=service-events-organization; conf=medium]
  - Muzik Grubu [slug=service-muzik-grubu; top=service-other; conf=low]
  - Muzik Produksiyon [slug=service-muzik-produksiyon; top=service-other; conf=low]
  - Muzik Studyosu Kiralama [slug=service-muzik-studyosu-kiralama; top=service-rental; conf=medium]
  - Muzik Yapimi [slug=service-muzik-yapimi; top=service-home-furniture-wood; conf=medium]
  - Muzik Yetenek Sinavi Hazirlik [slug=service-muzik-yetenek-sinavi-hazirlik; top=service-other; conf=low]
  - Muzisyen [slug=service-muzisyen; top=service-other; conf=low]
  - Orkestra [slug=service-orkestra; top=service-other; conf=low]
  - Profesyonel Dj [slug=service-profesyonel-dj; top=service-events-organization; conf=medium]
  - Trio Muzik Grubu [slug=service-trio-muzik-grubu; top=service-other; conf=low]

12. nikah-sekeri-ve-hediyelik (7)
  - Dugun Hediyelik [slug=service-dugun-hediyelik; top=service-events-organization; conf=medium]
  - Hediyelik Yapimi [slug=service-hediyelik-yapimi; top=service-home-furniture-wood; conf=medium]
  - Mevlut Hediyelik [slug=service-mevlut-hediyelik; top=service-other; conf=low]
  - Nikah Hediyelik [slug=service-nikah-hediyelik; top=service-other; conf=low]
  - Nikah Sekeri [slug=service-nikah-sekeri; top=service-other; conf=low]
  - Nisan Hediyelik [slug=service-nisan-hediyelik; top=service-events-organization; conf=medium]
  - Yenidogan Hediyelik [slug=service-yenidogan-hediyelik; top=service-other; conf=low]

13. soz-ve-nisan (6)
  - Dansoz Kiralama [slug=service-dansoz-kiralama; top=service-rental; conf=medium]
  - Nisan Arka Fon Kiralama [slug=service-nisan-arka-fon-kiralama; top=service-events-organization; conf=medium]
  - Nisan Cikolatasi [slug=service-nisan-cikolatasi; top=service-events-organization; conf=medium]
  - Nisan Fotografcisi [slug=service-nisan-fotografcisi; top=service-events-organization; conf=medium]
  - Nisan Yemegi [slug=service-nisan-yemegi; top=service-events-organization; conf=medium]
  - Soz Fotograf Cekimi [slug=service-soz-fotograf-cekimi; top=service-photo-video-media; conf=medium]

