"name","slug","main_category","source_type","source_slug","top_category_slug","confidence"
"Catering","service-catering","catering-hizmetleri","strict_v2","service-catering","service-events-organization","medium"
"Davet Catering","service-davet-catering","catering-hizmetleri","strict_v2","service-davet-catering","service-events-organization","medium"
"Dogum Gunu Catering","service-dogum-gunu-catering","catering-hizmetleri","strict_v2","service-dogum-gunu-catering","service-events-organization","high"
"Dogum Gunu Ikramliklari","service-dogum-gunu-ikramliklari","catering-hizmetleri","strict_v2","service-dogum-gunu-ikramliklari","service-events-organization","medium"
"Doner Catering","service-doner-catering","catering-hizmetleri","strict_v2","service-doner-catering","service-events-organization","medium"
"Dugun Catering","service-dugun-catering","catering-hizmetleri","strict_v2","service-dugun-catering","service-events-organization","high"
"Dugun Ikramliklari","service-dugun-ikramliklari","catering-hizmetleri","strict_v2","service-dugun-ikramliklari","service-events-organization","medium"
"Dugun Pastasi","service-dugun-pastasi","catering-hizmetleri","strict_v2","service-dugun-pastasi","service-events-organization","medium"
"Iftar Yemegi Catering","service-iftar-yemegi-catering","catering-hizmetleri","strict_v2","service-iftar-yemegi-catering","service-events-organization","medium"
"Kokteyl Catering","service-kokteyl-catering","catering-hizmetleri","strict_v2","service-kokteyl-catering","service-events-organization","medium"
"Nisan Ikramliklari Catering","service-nisan-ikramliklari-catering","catering-hizmetleri","strict_v2","service-nisan-ikramliklari-catering","service-events-organization","high"
"Nisan Menusu Catering","service-nisan-menusu-catering","catering-hizmetleri","strict_v2","service-nisan-menusu-catering","service-events-organization","high"
"Nisan Pastasi","service-nisan-pastasi","catering-hizmetleri","strict_v2","service-nisan-pastasi","service-events-organization","medium"
"Soz Pastasi","service-soz-pastasi","catering-hizmetleri","strict_v2","service-soz-pastasi","service-other","low"
"Cicek Gonderme","service-cicek-gonderme","cicekciler","strict_v2","service-cicek-gonderme","service-other","low"
"Cicek Tasarimi","service-cicek-tasarimi","cicekciler","strict_v2","service-cicek-tasarimi","service-design-software-marketing","medium"
"Cicekci","service-cicekci","cicekciler","strict_v2","service-cicekci","service-other","low"
"Sunnet Arabasi Kiralama","sunnet-arabasi-kiralama","davet-destek-hizmetleri","manual_seed","","",""
"Davetiye","service-davetiye","dugun-davetiyesi","strict_v2","service-davetiye","service-other","low"
"Davetiye Baski","service-davetiye-baski","dugun-davetiyesi","strict_v2","service-davetiye-baski","service-print-sign-ad","medium"
"Davetiye Tasarim","service-davetiye-tasarim","dugun-davetiyesi","strict_v2","service-davetiye-tasarim","service-design-software-marketing","medium"
"Dijital Davetiye","service-dijital-davetiye","dugun-davetiyesi","strict_v2","service-dijital-davetiye","service-other","low"
"Dugun Davetiyesi","service-dugun-davetiyesi","dugun-davetiyesi","strict_v2","service-dugun-davetiyesi","service-events-organization","medium"
"Dis Cekim Fotograf","service-dis-cekim-fotograf","dugun-fotografcilari-video","strict_v2","service-dis-cekim-fotograf","service-photo-video-media","medium"
"Drone Cekimi","service-drone-cekimi","dugun-fotografcilari-video","strict_v2","service-drone-cekimi","service-photo-video-media","medium"
"Dugun Drone Cekimi","service-dugun-drone-cekimi","dugun-fotografcilari-video","strict_v2","service-dugun-drone-cekimi","service-events-organization","medium"
"Dugun Fotografcisi","service-dugun-fotografcisi","dugun-fotografcilari-video","strict_v2","service-dugun-fotografcisi","service-events-organization","medium"
"Dugun Video Cekimi","service-dugun-video-cekimi","dugun-fotografcilari-video","strict_v2","service-dugun-video-cekimi","service-events-organization","medium"
"Evlilik Teklifi Fotograf Cekimi","service-evlilik-teklifi-fotograf-cekimi","dugun-fotografcilari-video","strict_v2","service-evlilik-teklifi-fotograf-cekimi","service-photo-video-media","medium"
"Kameraman","service-kameraman","dugun-fotografcilari-video","strict_v2","service-kameraman","service-photo-video-media","medium"
"Bekarliga Veda Mekanlari","service-bekarliga-veda-mekanlari","dugun-mekanlari","strict_v2","service-bekarliga-veda-mekanlari","service-other","low"
"Camekan Balkon","service-camekan-balkon","dugun-mekanlari","strict_v2","service-camekan-balkon","service-glass-aluminum-pvc","medium"
"Davet Salonu","service-davet-salonu","dugun-mekanlari","strict_v2","service-davet-salonu","service-other","low"
"Dogum Gunu Mekanlari","service-dogum-gunu-mekanlari","dugun-mekanlari","strict_v2","service-dogum-gunu-mekanlari","service-events-organization","medium"
"Dugun Mekanlari","service-dugun-mekanlari","dugun-mekanlari","strict_v2","service-dugun-mekanlari","service-events-organization","medium"
"Dugun Salonu","service-dugun-salonu","dugun-mekanlari","strict_v2","service-dugun-salonu","service-events-organization","medium"
"Ic Mekan Tasarimi","service-ic-mekan-tasarimi","dugun-mekanlari","strict_v2","service-ic-mekan-tasarimi","service-design-software-marketing","medium"
"Kina Mekanlari","service-kina-mekanlari","dugun-mekanlari","strict_v2","service-kina-mekanlari","service-events-organization","medium"
"Kir Dugunu","service-kir-dugunu","dugun-mekanlari","strict_v2","service-kir-dugunu","service-events-organization","medium"
"Mekan Fotografcisi","service-mekan-fotografcisi","dugun-mekanlari","strict_v2","service-mekan-fotografcisi","service-photo-video-media","medium"
"Mekanik Cephe Kaplama","service-mekanik-cephe-kaplama","dugun-mekanlari","strict_v2","service-mekanik-cephe-kaplama","service-auto-services","medium"
"Mekanik Proje","service-mekanik-proje","dugun-mekanlari","strict_v2","service-mekanik-proje","service-design-software-marketing","medium"
"Mekanik Proje Cizimi","service-mekanik-proje-cizimi","dugun-mekanlari","strict_v2","service-mekanik-proje-cizimi","service-design-software-marketing","high"
"Nisan Mekanlari","service-nisan-mekanlari","dugun-mekanlari","strict_v2","service-nisan-mekanlari","service-events-organization","medium"
"Soz Mekanlari","service-soz-mekanlari","dugun-mekanlari","strict_v2","service-soz-mekanlari","service-other","low"
"Soz Nisan Mekanlari","service-soz-nisan-mekanlari","dugun-mekanlari","strict_v2","service-soz-nisan-mekanlari","service-events-organization","medium"
"Acilis Balon Susleme","service-acilis-balon-susleme","dugun-organizasyon","strict_v2","service-acilis-balon-susleme","service-events-organization","medium"
"Balon Susleme","service-balon-susleme","dugun-organizasyon","strict_v2","service-balon-susleme","service-events-organization","medium"
"Dogum Gunu Balon Susleme","service-dogum-gunu-balon-susleme","dugun-organizasyon","strict_v2","service-dogum-gunu-balon-susleme","service-events-organization","high"
"Dogum Gunu Susleme","service-dogum-gunu-susleme","dugun-organizasyon","strict_v2","service-dogum-gunu-susleme","service-events-organization","medium"
"Dogum Odasi Susleme","service-dogum-odasi-susleme","dugun-organizasyon","strict_v2","service-dogum-odasi-susleme","service-other","low"
"Dugun Balon Susleme","service-dugun-balon-susleme","dugun-organizasyon","strict_v2","service-dugun-balon-susleme","service-events-organization","high"
"Dugun Organizasyon","service-dugun-organizasyon","dugun-organizasyon","strict_v2","service-dugun-organizasyon","service-events-organization","high"
"Etkinlik Fotografcisi","service-etkinlik-fotografcisi","dugun-organizasyon","strict_v2","service-etkinlik-fotografcisi","service-photo-video-media","medium"
"Etkinlik Hostesi","service-etkinlik-hostesi","dugun-organizasyon","strict_v2","service-etkinlik-hostesi","service-other","low"
"Evde Nisan Organizasyonu","service-evde-nisan-organizasyonu","dugun-organizasyon","strict_v2","service-evde-nisan-organizasyonu","service-events-organization","high"
"Evde Soz Organizasyonu","service-evde-soz-organizasyonu","dugun-organizasyon","strict_v2","service-evde-soz-organizasyonu","service-events-organization","medium"
"Evlilik Teklifi Organizasyon","service-evlilik-teklifi-organizasyon","dugun-organizasyon","strict_v2","service-evlilik-teklifi-organizasyon","service-events-organization","medium"
"Fuar Hostesi","service-fuar-hostesi","dugun-organizasyon","strict_v2","service-fuar-hostesi","service-other","low"
"Gelin Arabasi Susleme","service-gelin-arabasi-susleme","dugun-organizasyon","strict_v2","service-gelin-arabasi-susleme","service-other","low"
"Karsilama Hostesi","service-karsilama-hostesi","dugun-organizasyon","strict_v2","service-karsilama-hostesi","service-other","low"
"Kina Organizasyon","service-kina-organizasyon","dugun-organizasyon","strict_v2","service-kina-organizasyon","service-events-organization","high"
"Konsept Fotograf Cekimi","service-konsept-fotograf-cekimi","dugun-organizasyon","strict_v2","service-konsept-fotograf-cekimi","service-photo-video-media","medium"
"Muzik Organizasyonu","service-muzik-organizasyonu","dugun-organizasyon","strict_v2","service-muzik-organizasyonu","service-events-organization","medium"
"Nikah Organizasyon","service-nikah-organizasyon","dugun-organizasyon","strict_v2","service-nikah-organizasyon","service-events-organization","medium"
"Nisan Organizasyon","service-nisan-organizasyon","dugun-organizasyon","strict_v2","service-nisan-organizasyon","service-events-organization","high"
"Soz Nisan Organizasyon","service-soz-nisan-organizasyon","dugun-organizasyon","strict_v2","service-soz-nisan-organizasyon","service-events-organization","high"
"Soz Organizasyon","service-soz-organizasyon","dugun-organizasyon","strict_v2","service-soz-organizasyon","service-events-organization","medium"
"Susleme Organizasyon","service-susleme-organizasyon","dugun-organizasyon","strict_v2","service-susleme-organizasyon","service-events-organization","medium"
"Ucan Balon Susleme","service-ucan-balon-susleme","dugun-organizasyon","strict_v2","service-ucan-balon-susleme","service-events-organization","medium"
"Zincir Balon Susleme","service-zincir-balon-susleme","dugun-organizasyon","strict_v2","service-zincir-balon-susleme","service-events-organization","medium"
"Kina Fotografcisi","kina-fotografcisi","foto-video","manual_seed","","",""
"Nikah Fotografcisi","nikah-fotografcisi","foto-video","source","service-nikah-fotografcisi","",""
"Nisan Fotografcisi","nisan-fotografcisi","foto-video","source","service-nisan-fotografcisi","",""
"Sunnet Fotografcisi","sunnet-fotografcisi","foto-video","manual_seed","","",""
"Gelin Arabasi Kiralama","service-gelin-arabasi-kiralama","gelin-arabasi","strict_v2","service-gelin-arabasi-kiralama","service-rental","medium"
"Havaalani Transfer","service-havaalani-transfer","gelin-arabasi","strict_v2","service-havaalani-transfer","service-other","low"
"Karavan Transfer","service-karavan-transfer","gelin-arabasi","strict_v2","service-karavan-transfer","service-other","low"
"Kedi Transferi","service-kedi-transferi","gelin-arabasi","strict_v2","service-kedi-transferi","service-pets-garden","medium"
"Kopek Transfer","service-kopek-transfer","gelin-arabasi","strict_v2","service-kopek-transfer","service-pets-garden","medium"
"Limuzin Kiralama","service-limuzin-kiralama","gelin-arabasi","strict_v2","service-limuzin-kiralama","service-rental","medium"
