"main_category","title_tr","slug","top_category_slug","confidence"
"catering-hizmetleri","Catering","service-catering","service-events-organization","medium"
"catering-hizmetleri","Davet Catering","service-davet-catering","service-events-organization","medium"
"catering-hizmetleri","Dogum Gunu Catering","service-dogum-gunu-catering","service-events-organization","high"
"catering-hizmetleri","Dogum Gunu Ikramliklari","service-dogum-gunu-ikramliklari","service-events-organization","medium"
"catering-hizmetleri","Doner Catering","service-doner-catering","service-events-organization","medium"
"catering-hizmetleri","Dugun Catering","service-dugun-catering","service-events-organization","high"
"catering-hizmetleri","Dugun Ikramliklari","service-dugun-ikramliklari","service-events-organization","medium"
"catering-hizmetleri","Dugun Pastasi","service-dugun-pastasi","service-events-organization","medium"
"catering-hizmetleri","Iftar Yemegi Catering","service-iftar-yemegi-catering","service-events-organization","medium"
"catering-hizmetleri","Kokteyl Catering","service-kokteyl-catering","service-events-organization","medium"
"catering-hizmetleri","Nisan Ikramliklari Catering","service-nisan-ikramliklari-catering","service-events-organization","high"
"catering-hizmetleri","Nisan Menusu Catering","service-nisan-menusu-catering","service-events-organization","high"
"catering-hizmetleri","Nisan Pastasi","service-nisan-pastasi","service-events-organization","medium"
"catering-hizmetleri","Soz Pastasi","service-soz-pastasi","service-other","low"
"cicekciler","Cicek Gonderme","service-cicek-gonderme","service-other","low"
"cicekciler","Cicek Tasarimi","service-cicek-tasarimi","service-design-software-marketing","medium"
"cicekciler","Cicekci","service-cicekci","service-other","low"
"dugun-davetiyesi","Davetiye","service-davetiye","service-other","low"
"dugun-davetiyesi","Davetiye Baski","service-davetiye-baski","service-print-sign-ad","medium"
"dugun-davetiyesi","Davetiye Tasarim","service-davetiye-tasarim","service-design-software-marketing","medium"
"dugun-davetiyesi","Dijital Davetiye","service-dijital-davetiye","service-other","low"
"dugun-davetiyesi","Dugun Davetiyesi","service-dugun-davetiyesi","service-events-organization","medium"
"dugun-fotografcilari-video","Dis Cekim Fotograf","service-dis-cekim-fotograf","service-photo-video-media","medium"
"dugun-fotografcilari-video","Drone Cekimi","service-drone-cekimi","service-photo-video-media","medium"
"dugun-fotografcilari-video","Dugun Drone Cekimi","service-dugun-drone-cekimi","service-events-organization","medium"
"dugun-fotografcilari-video","Dugun Fotografcisi","service-dugun-fotografcisi","service-events-organization","medium"
"dugun-fotografcilari-video","Dugun Video Cekimi","service-dugun-video-cekimi","service-events-organization","medium"
"dugun-fotografcilari-video","Evlilik Teklifi Fotograf Cekimi","service-evlilik-teklifi-fotograf-cekimi","service-photo-video-media","medium"
"dugun-fotografcilari-video","Kameraman","service-kameraman","service-photo-video-media","medium"
"dugun-mekanlari","Bekarliga Veda Mekanlari","service-bekarliga-veda-mekanlari","service-other","low"
"dugun-mekanlari","Camekan Balkon","service-camekan-balkon","service-glass-aluminum-pvc","medium"
"dugun-mekanlari","Davet Salonu","service-davet-salonu","service-other","low"
"dugun-mekanlari","Dogum Gunu Mekanlari","service-dogum-gunu-mekanlari","service-events-organization","medium"
"dugun-mekanlari","Dugun Mekanlari","service-dugun-mekanlari","service-events-organization","medium"
"dugun-mekanlari","Dugun Salonu","service-dugun-salonu","service-events-organization","medium"
"dugun-mekanlari","Ic Mekan Tasarimi","service-ic-mekan-tasarimi","service-design-software-marketing","medium"
"dugun-mekanlari","Kina Mekanlari","service-kina-mekanlari","service-events-organization","medium"
"dugun-mekanlari","Kir Dugunu","service-kir-dugunu","service-events-organization","medium"
"dugun-mekanlari","Mekan Fotografcisi","service-mekan-fotografcisi","service-photo-video-media","medium"
"dugun-mekanlari","Mekanik Cephe Kaplama","service-mekanik-cephe-kaplama","service-auto-services","medium"
"dugun-mekanlari","Mekanik Proje","service-mekanik-proje","service-design-software-marketing","medium"
"dugun-mekanlari","Mekanik Proje Cizimi","service-mekanik-proje-cizimi","service-design-software-marketing","high"
"dugun-mekanlari","Nisan Mekanlari","service-nisan-mekanlari","service-events-organization","medium"
"dugun-mekanlari","Soz Mekanlari","service-soz-mekanlari","service-other","low"
