"slug","title_tr","top_category_slug","confidence","decision","main_category","reason"
"service-afis-baski","Afis Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-ajanda-baski","Ajanda Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-alaturka-tuvaleti-klozete-cevirme","Alaturka Tuvaleti Klozete Cevirme","service-other","low","candidate","davet-destek-hizmetleri","keyword_rule"
"service-anahtarlik-baski","Anahtarlik Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-bardak-baski","Bardak Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-baski-beton","Baski Beton","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-bez-canta-baski","Bez Canta Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-billboard-reklam","Billboard Reklam","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-bloknot-baski","Bloknot Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-branda-baski","Branda Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-branda-tabela","Branda Tabela","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-brosur-baski","Brosur Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-cakmak-baski","Cakmak Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-canta-baski","Canta Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-cnc-lazer-kesim","Cnc Lazer Kesim","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-cocuk-tuvalet-egitimi","Cocuk Tuvalet Egitimi","service-education-lessons","medium","candidate","davet-destek-hizmetleri","keyword_rule"
"service-davetiye","Davetiye","service-other","low","candidate","davet-destek-hizmetleri","keyword_rule"
"service-davetiye-baski","Davetiye Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","keyword_rule"
"service-davetiye-tasarim","Davetiye Tasarim","service-design-software-marketing","medium","candidate","davet-destek-hizmetleri","keyword_rule"
"service-defter-baski","Defter Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dergi-baski","Dergi Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dijital-baski","Dijital Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dijital-davetiye","Dijital Davetiye","service-other","low","candidate","davet-destek-hizmetleri","keyword_rule"
"service-dijital-reklam","Dijital Reklam","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-diploma-baski","Diploma Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dis-cephe-yali-baski","Dis Cephe Yali Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dosya-baski","Dosya Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dtf-baski","Dtf Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-dukkan-tabelasi","Dukkan Tabelasi","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-eczane-tabela","Eczane Tabela","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-facebook-reklam-verme","Facebook Reklam Verme","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-facebook-reklam-yoneticisi","Facebook Reklam Yoneticisi","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-folyo-baski","Folyo Baski","service-print-sign-ad","high","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-google-reklam-ajansi","Google Reklam Ajansi","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-hediyelik-yapimi","Hediyelik Yapimi","service-home-furniture-wood","medium","candidate","davet-destek-hizmetleri","keyword_rule"
"service-instagram-reklam-verme","Instagram Reklam Verme","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-kabartma-tabela","Kabartma Tabela","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-kalem-baski","Kalem Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
"service-karton-etiket-baski","Karton Etiket Baski","service-print-sign-ad","medium","candidate","davet-destek-hizmetleri","fallback_top_category"
