"slug","title_tr","top_category_slug","confidence","decision","main_category","reason"
"service-lazer-epilasyon-tamiri","Lazer Epilasyon Tamiri","service-beauty-fashion","medium","out","","exclude_rule"
"service-protez-tirnak-bakimi","Protez Tirnak Bakimi","service-beauty-fashion","high","out","","exclude_rule"
"service-mekanik-tesisat-proje-cizimi","Mekanik Tesisat Proje Cizimi","service-design-software-marketing","high","out","","exclude_rule"
"service-akiskanlar-mekanigi-ozel-ders","Akiskanlar Mekanigi Ozel Ders","service-education-lessons","medium","out","","exclude_rule"
"service-muzik-teorisi-ozel-ders","Muzik Teorisi Ozel Ders","service-education-lessons","medium","out","","exclude_rule"
"service-basincli-yikama-makinasi-tamiri","Basincli Yikama Makinasi Tamiri","service-events-organization","medium","out","","exclude_rule"
"service-hastane-odasi-balon-susleme","Hastane Odasi Balon Susleme","service-events-organization","medium","out","","exclude_rule"
"service-overlok-makinasi-tamiri","Overlok Makinasi Tamiri","service-events-organization","medium","out","","exclude_rule"
"service-bahce-bakimi","Bahce Bakimi","service-health-care","medium","out","","exclude_rule"
"service-hastane-odasi-susleme","Hastane Odasi Susleme","service-other","low","out","","exclude_rule"
"service-ahsap-kapi-montaji","Ahsap Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-akordiyon-kapi-montaji","Akordiyon Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-aluminyum-kapi-montaji","Aluminyum Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-aluminyum-supurgelik-montaji","Aluminyum Supurgelik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-amerikan-panel-kapi-montaji","Amerikan Panel Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-amerikan-park-montaji","Amerikan Park Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-anahtar-priz-montaj","Anahtar Priz Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-bulasik-makinesi-montaji","Ankastre Bulasik Makinesi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-davlumbaz-montaji","Ankastre Davlumbaz Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-dolap-montaji","Ankastre Dolap Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-firin-montaji","Ankastre Firin Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-montaj","Ankastre Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-ocak-montaji","Ankastre Ocak Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ankastre-set-montaji","Ankastre Set Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-aplik-montaji","Aplik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-arac-kamerasi-montaji","Arac Kamerasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-asansor-montaj","Asansor Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-askilik-montaji","Askilik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-asma-klozet-montaji","Asma Klozet Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-aspirator-montaji","Aspirator Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-avize-montaj","Avize Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-ayna-montaji","Ayna Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-balkon-camasir-demiri-montaji","Balkon Camasir Demiri Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-banyo-aksesuarlari-montaji","Banyo Aksesuarlari Montaji","service-photo-video-media","high","out","","exclude_rule"
"service-basinc-dusurucu-montaji","Basinc Dusurucu Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-besik-montaji","Besik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-bilgisayar-masasi-montaji","Bilgisayar Masasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-bilgisayar-montaj","Bilgisayar Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-biyometrik-fotograf-cekimi","Biyometrik Fotograf Cekimi","service-photo-video-media","medium","out","","exclude_rule"
"service-body-kit-montaj","Body Kit Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-bulasik-makinesi-montaji","Bulasik Makinesi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-calisma-masasi-montaji","Calisma Masasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-cam-kapi-montaji","Cam Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-cam-montaj","Cam Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-camasir-kurutma-makinesi-montaji","Camasir Kurutma Makinesi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-camasir-makinesi-montaji","Camasir Makinesi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-canak-anten-montaji","Canak Anten Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ceki-demiri-montaji","Ceki Demiri Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-cekmece-rayi-montaji","Cekmece Rayi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-celik-kapi-montaji","Celik Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-dalgic-pompa-montaji","Dalgic Pompa Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-demir-kapi-montaji","Demir Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-diafon-montaji","Diafon Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-dolap-montaji","Dolap Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-dus-basligi-montaji","Dus Basligi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-dusakabin-montaj-dahil","Dusakabin Montaj Dahil","service-photo-video-media","medium","out","","exclude_rule"
"service-dusakabin-montaji","Dusakabin Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-duy-montaji","Duy Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-evye-sifonu-montaji","Evye Sifonu Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-fancoil-montaji","Fancoil Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-foto-montaj","Foto Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-fotograf-makinesi-tamiri","Fotograf Makinesi Tamiri","service-photo-video-media","medium","out","","exclude_rule"
"service-gardrop-montaji","Gardrop Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-genlesme-tanki-montaji","Genlesme Tanki Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-geri-gorus-kamerasi-montaji","Geri Gorus Kamerasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-gomme-klozet-montaji","Gomme Klozet Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-gomme-rezervuar-montaji","Gomme Rezervuar Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-gunes-paneli-montaji","Gunes Paneli Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-guvenlik-kamera-montaji","Guvenlik Kamera Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-havluluk-montaji","Havluluk Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-havlupan-montaji","Havlupan Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-hidrofor-montaji","Hidrofor Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-hiz-sabitleyici-montaji","Hiz Sabitleyici Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ikea-dolap-montaj","Ikea Dolap Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-ikea-montaj","Ikea Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-isi-pompasi-montaji","Isi Pompasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-jakuzi-montaji","Jakuzi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-jaluzi-perde-montaji","Jaluzi Perde Montaji","service-photo-video-media","medium","out","","exclude_rule"
