"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-online-keman-dersi","Online Keman Dersi","service-education-lessons","high","approved","Muzik Gruplari","single_match"
"service-biyometrik-fotograf-cekimi","Biyometrik Fotograf Cekimi","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-cekyat-kaplama","Cekyat Kaplama","service-auto-services","medium","approved","Mekanlar","single_match"
"service-dogum-fotografcisi","Dogum Fotografcisi","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-drone-egitimi","Drone Egitimi","service-education-lessons","medium","approved","Fotograf Video","single_match"
"service-dugunlere-garson","Dugunlere Garson","service-events-organization","medium","approved","Organizasyon Hizmetleri","single_match"
"service-etkinlik-organizasyonu","Etkinlik Organizasyonu","service-events-organization","medium","approved","Organizasyon Hizmetleri","single_match"
"service-fotokopi-cekim","Fotokopi Cekim","service-auto-services","medium","approved","Fotograf Video","single_match"
"service-otel-temizligi","Otel Temizligi","service-home-cleaning","medium","approved","Mekanlar","single_match"
"service-urun-video-cekimi","Urun Video Cekimi","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-video-reklam","Video Reklam","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-kamera-cekimi","Kamera Cekimi","service-other","low","approved","Fotograf Video","single_match"
"service-trio-muzik-grubu","Trio Muzik Grubu","service-other","low","approved","Muzik Gruplari","single_match"
"service-dis-cekim-fotograf","Dis Cekim Fotograf","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-alcipan-led-tavan","Alcipan Led Tavan","service-construction-renovation","medium","approved","Teknik Produksiyon","single_match"
"service-bisiklet-dersi","Bisiklet Dersi","service-education-lessons","medium","approved","Teknik Produksiyon","single_match"
"service-dj-kiralama","Dj Kiralama","service-events-organization","medium","approved","Muzik Gruplari","single_match"
"service-dugun-dans-dersi","Dugun Dans Dersi","service-education-lessons","medium","approved","Organizasyon Hizmetleri","single_match"
"service-dugun-davetiyesi","Dugun Davetiyesi","service-events-organization","medium","approved","Organizasyon Hizmetleri","single_match"
"service-dugun-yemegi","Dugun Yemegi","service-events-organization","medium","approved","Organizasyon Hizmetleri","single_match"
"service-fotograf-cekimi-makyaji","Fotograf Cekimi Makyaji","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-fotograf-editoru","Fotograf Editoru","service-photo-video-media","medium","approved","Fotograf Video","single_match"
"service-ic-mekan-tasarimi","Ic Mekan Tasarimi","service-design-software-marketing","medium","approved","Mekanlar","single_match"
"service-nisan-yemegi","Nisan Yemegi","service-events-organization","medium","approved","Organizasyon Hizmetleri","single_match"
"service-organizasyon","Organizasyon","service-events-organization","medium","approved","Organizasyon Hizmetleri","single_match"
"service-yatay-gecis-danismani","Yatay Gecis Danismani","service-business-consulting","medium","approved","Mekanlar","single_match"
