"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-marangoz","Marangoz","service-other","low","manual_review","","no_match"
"service-anahtar-teslim-insaat","Anahtar Teslim Insaat","service-construction-renovation","medium","manual_review","","no_match"
"service-hamal","Hamal","service-other","low","manual_review","","no_match"
"service-ahsap-masa-yapimi","Ahsap Masa Yapimi","service-home-furniture-wood","high","manual_review","","no_match"
"service-aluminyum-balkon-korkuluk","Aluminyum Balkon Korkuluk","service-glass-aluminum-pvc","high","manual_review","","no_match"
"service-aluminyum-pencere-korkuluk","Aluminyum Pencere Korkuluk","service-glass-aluminum-pvc","high","manual_review","","no_match"
"service-cam-dolap-kapagi-yapimi","Cam Dolap Kapagi Yapimi","service-home-furniture-wood","high","manual_review","","no_match"
"service-cati-su-yalitimi","Cati Su Yalitimi","service-construction-renovation","high","manual_review","","no_match"
"service-duvar-su-yalitimi","Duvar Su Yalitimi","service-construction-renovation","high","manual_review","","no_match"
"service-ferforje-bahce-korkuluk","Ferforje Bahce Korkuluk","service-glass-aluminum-pvc","high","manual_review","","no_match"
"service-havuz-seramik-doseme","Havuz Seramik Doseme","service-construction-renovation","high","manual_review","","no_match"
"service-lake-mutfak-dolabi-boyama","Lake Mutfak Dolabi Boyama","service-construction-renovation","high","manual_review","","no_match"
"service-online-oyunculuk-egitimi","Online Oyunculuk Egitimi","service-education-lessons","high","manual_review","","no_match"
"service-online-speaking-dersi","Online Speaking Dersi","service-education-lessons","high","manual_review","","no_match"
"service-sandalye-yapimi","Sandalye Yapimi","service-home-furniture-wood","high","manual_review","","no_match"
"service-schengen-vizesi-danismanlik","Schengen Vizesi Danismanlik","service-business-consulting","high","manual_review","","no_match"
"service-surgulu-pimapen-kapi","Surgulu Pimapen Kapi","service-glass-aluminum-pvc","high","manual_review","","no_match"
"service-yemek-masasi-yapimi","Yemek Masasi Yapimi","service-home-furniture-wood","high","manual_review","","no_match"
"service-abiye-dikimi","Abiye Dikimi","service-beauty-fashion","medium","manual_review","","no_match"
"service-aluminyum-kompozit","Aluminyum Kompozit","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-aluminyum-merdiven-korkulugu","Aluminyum Merdiven Korkulugu","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-amerikan-panel-kapi-boyama","Amerikan Panel Kapi Boyama","service-construction-renovation","medium","manual_review","","no_match"
"service-apartman-ilaclama","Apartman Ilaclama","service-home-cleaning","medium","manual_review","","no_match"
"service-arcelik-klima-servisi","Arcelik Klima Servisi","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-ayakkabilik-yapimi","Ayakkabilik Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
