"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-dogalgaz-tesisati","Dogalgaz Tesisati","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-ilkokul-matematik-ozel-ders","Ilkokul Matematik Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-ortaokul-matematik-ozel-ders","Online Ortaokul Matematik Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-lgs-matematik-ozel-ders","Lgs Matematik Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-moto-kurye","Moto Kurye","service-moving-logistics","medium","rejected_scope","","exclude_rule"
"service-online-lgs-fen-ozel-ders","Online Lgs Fen Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-banyo-aksesuarlari-montaji","Banyo Aksesuarlari Montaji","service-photo-video-media","high","rejected_scope","","exclude_rule"
"service-mutfak-tezgahi-tamiri","Mutfak Tezgahi Tamiri","service-home-furniture-wood","high","rejected_scope","","exclude_rule"
"service-online-okuma-yazma-ozel-ders","Online Okuma Yazma Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-sat-ingilizce-ozel-ders","Sat Ingilizce Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-ales-ozel-ders","Ales Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-arac-koltuk-yanik-tamiri","Arac Koltuk Yanik Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-asansor-tamiri","Asansor Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-ayna-tamiri","Ayna Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-banyo-aspirator-montaji","Banyo Aspirator Montaji","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-basketbol-ozel-ders","Basketbol Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-camasir-makinesi-montaji","Camasir Makinesi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-celik-kapi-tamiri","Celik Kapi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-cilt-bakimi","Cilt Bakimi","service-health-care","medium","rejected_scope","","exclude_rule"
"service-cografya-ozel-ders","Cografya Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-elektronik-muhendisligi-ozel-ders","Elektronik Muhendisligi Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-gozluk-tamiri","Gozluk Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-gunes-enerjisi-tamiri","Gunes Enerjisi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-guvenlik-kamerasi-tamiri","Guvenlik Kamerasi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-kahve-makinesi-tamiri","Kahve Makinesi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-kapi-kilidi-tamiri","Kapi Kilidi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-kapi-pervazi-montaji","Kapi Pervazi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-kaporta-curuk-tamiri","Kaporta Curuk Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-kurye-cagir","Kurye Cagir","service-moving-logistics","medium","rejected_scope","","exclude_rule"
"service-lake-supurgelik-montaji","Lake Supurgelik Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-laptop-batarya-tamiri","Laptop Batarya Tamiri","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-laptop-harddisk-tamiri","Laptop Harddisk Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-led-avize-tamiri","Led Avize Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-macbook-tamiri","Macbook Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-mekanik-tesisat","Mekanik Tesisat","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-merkezi-sistem-dogalgaz","Merkezi Sistem Dogalgaz","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
"service-merkezi-sistem-uydu-tamiri","Merkezi Sistem Uydu Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-mikrodalga-firin-tamiri","Mikrodalga Firin Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-otomatik-kapi-motoru-tamiri","Otomatik Kapi Motoru Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-otomatik-kepenk-tamiri","Otomatik Kepenk Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-oyuncak-tamiri","Oyuncak Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-pimapen-kapi-kolu-tamiri","Pimapen Kapi Kolu Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-pvc-kapi-montaji","Pvc Kapi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-romence-ozel-ders","Romence Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-rustik-perde-montaji","Rustik Perde Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-sehpa-tamiri","Sehpa Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-ses-sistemi-tamiri","Ses Sistemi Tamiri","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-sirkulasyon-pompasi-tamiri","Sirkulasyon Pompasi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-stor-perde-mekanizmasi-tamiri","Stor Perde Mekanizmasi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-su-pompasi-tamiri","Su Pompasi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-surgulu-dolap-mekanizmasi-tamiri","Surgulu Dolap Mekanizmasi Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-tampon-tamiri","Tampon Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-tavan-vantilatoru-tamiri","Tavan Vantilatoru Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-tyt-turkce-ozel-ders","Tyt Turkce Ozel Ders","service-education-lessons","medium","rejected_scope","","exclude_rule"
"service-uzaktan-kumandali-araba-tamiri","Uzaktan Kumandali Araba Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-xbox-kol-tamiri","Xbox Kol Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-yatak-odasi-montaji","Yatak Odasi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-avize-montaj","Avize Montaj","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-televizyon-tamiri","Televizyon Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-online-ales-matematik-ozel-ders","Online Ales Matematik Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-ortaokul-ingilizce-ozel-ders","Online Ortaokul Ingilizce Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-daire-ici-dogalgaz-tesisati","Daire Ici Dogalgaz Tesisati","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-elektrik-tesisat-uygunluk-belgesi","Elektrik Tesisat Uygunluk Belgesi","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-insaat-elektrik-tesisati","Insaat Elektrik Tesisati","service-plumbing-electric-hvac","high","rejected_scope","","exclude_rule"
"service-online-calculus-ozel-ders","Online Calculus Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-ielts-ozel-ders","Online Ielts Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-online-osmanlica-ozel-ders","Online Osmanlica Ozel Ders","service-education-lessons","high","rejected_scope","","exclude_rule"
"service-airbag-tamiri","Airbag Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-airfryer-tamiri","Airfryer Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-akordiyon-kapi-montaji","Akordiyon Kapi Montaji","service-photo-video-media","medium","rejected_scope","","exclude_rule"
"service-akulu-araba-tamiri","Akulu Araba Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-alcipan-tamiri","Alcipan Tamiri","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-amortisor-tamiri","Amortisor Tamiri","service-repair-maintenance","medium","rejected_scope","","exclude_rule"
"service-banyo-dolabi-montaji","Banyo Dolabi Montaji","service-construction-renovation","medium","rejected_scope","","exclude_rule"
"service-boru-tesisati","Boru Tesisati","service-plumbing-electric-hvac","medium","rejected_scope","","exclude_rule"
